time,questions,body,transformation,power,sexuality,colour,material,action,discipline,object,emotion,performativity,observation,digital,identity,relational,form/states,issues,nature,narrative,money,situation,ideology,math,symbols
present,When,hand,change,Owner,gender,red,sand,walk,cinema,phone,lost,performer,see,digital,individual,touch,round,surveillance,animal,story,debt,left,diversity,>,@
future,how,feet,turn,Private,male,crimson,clay,run,dance,tree,anger,protest,watch,robot,collective,neighbour,square,neo-liberalism,bird,slogan,loan,right,tribe,<,#
past,where,bone,transform,Capitalism,female,silver,water,sleep,ballet,car,fear,occupy,observe,machine,identity,together,triangle,ecocide,meat,script,rent,under,superior,+,$
history,who,arm,rot,slavery,transgender,gold,brick,sit,opera,cable,surprise,projection,audience,binary,identification,brother,halve,racism,fish,archive,salary,above,inferior,–,€
narrative,why,head,unfold,colonialism,unknown,black,stone,fall,theatre,raft,terror,actor,outside,system,lonely,sister,full,white supremacy,kill,calendar,job,first,better,=,©
dream,is,eye,become,jail,queer,white,wood,die,drama,computer,love,poster,unknown,surveillance,discriminate,family,empty,fundamentalism,sea,memory,tax,last,utopia,x,ɸ
pause,,corpse,transmute,bias,gay,kobalt,glass,talk,,house,rage,conversation,mysterie,internet,collaborate,friend,round,immigration,grow,celebrate,owe,middle,dystopic,↔,Ώ
rewind,,body,organize,freedom,normal,pink,paint,feel,,chair,heal,ritual,inspect,web,isolate,enemy,sharp,war,ancestor,restore,coin,dark,,↑,Ϫ
shuffle,,heart,revolution,dispossession,non-binary,bronze,paper,watch,,table,sad,burial,capture,electric,value,stranger,freeze,virus,river,school,capital,light,,↩,Ѧ
never,,liver,evolve,enclosure,…...........,brown,nail,breath,,boat,wonder,exhibition,trance,data,religion,divorce,evaporate,extinction,planet,teacher,bank,shade,,→,҈
,,blood,fire,anarchist,,blue,air,travel,,fridge,fragile,silence,,radar,alien,accuse,,covid19,,diary,bail-out,,,←,Ҩ
,,hair,alchemy,censor,,yellow,ground,eat,,stage,dispair,theatre,,,race,judge,,genocide,,myth,steal,,,%,փ
,,flesh,melting,country,,orange,bone,burn,,lamp,hope,circus,,,masculine,teach,,depression,,,pay,,,/,֍
,,womb,,empire,,green,salt,play,,,joy,billboard,,,feminin,,,anxiety,,,,,,≠,۩
,,breast,,consumer,,,skin,listen,,,tragedy,city-tour,,,class,,,narcotic,,,,,,,ܮ
,,nipple,,election,,,metal,speak,,,comedy,man,,,normal,,,addiction,,,,,,,ॵ
,,nail,,dictator,,,iron,,,,,woman,,,woke,,,,,,,,,,ᐁ
,,organ,,leader,,,plastic,,,,,audience,,,alt-right,,,,,,,,,,□
,,lung,,map,,,oil,,,,,staging,,,,,,,,,,,,,○
,,,,exploit,,,gas,,,,,choreography,,,,,,,,,,,,,
,,,,,,,organic,,,,,,,,,,,,,,,,,,